Reference, Quantity, Value, Footprint,JLCPCB,Part Number, Datasheet, MANUFACTURER, PARTREV
C1,1,4.7nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C106073,,~,,
C2 C3 C4,3,0.1 uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C107181,,~,,
C5,1,180uf/35V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,https://www.mouser.com/ProductDetail/Panasonic/35SEK180M?qs=sGAEpiMZZMsh%252B1woXyUXj2Bz7Q4aUyX%2F9m8ikwS88ZM%3D,,~,,
C6,1,470uf/35V,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,https://www.mouser.com/ProductDetail/Panasonic/EEH-AZS1V471B?qs=sGAEpiMZZMsh%252B1woXyUXj7hTFrnMyX90PLCyIsAicwQ%3D,,~,,
C7,1,105,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848,CL31B105KBHNNNE,https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL31B105KBHNNNE_C1848.pdf,Samsung Electro-Mechanics,
D1 D2 D3,3,BAV99,Package_TO_SOT_SMD:SOT-23,C305472,,https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf,,
D4,1,1N5820,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,https://www.mouser.com/ProductDetail/onsemi/1N5820G?qs=y2kkmE52mdMaZomtu%252BD%252BfQ%3D%3D,,http://www.vishay.com/docs/88526/1n5820.pdf,,
J11,1,2.5 mm,darty_stuff:2.5mm_Stereo_Jack,https://www.mouser.com/ProductDetail/Kobiconn/161-7000-EX?qs=%2Fha2pyFaduhYbA%2F75Llo1bv5VmsppQYB19pjXPiqmsY%3D,,https://www.mouser.com/datasheet/2/253/KC-300946-1177561.pdf,,
J2 J3,2,RJ12,Connector_RJ:RJ12_Amphenol_54601,https://www.mouser.com/ProductDetail/Molex/42878-6216?qs=yYVs2tXBqMPaSjdPYoO9rg%3D%3D,,~,,
J5,1,3.5 mm,darty_stuff:3.5mm_Stereo_Jack,https://www.mouser.com/ProductDetail/Kobiconn/161-7400-EX?qs=D76ag%252Bk%252BuJhTaHNkgHRNDA%3D%3D,,https://www.mouser.com/datasheet/2/253/KC-300830-1177500.pdf,,
L1,1,68uh/2A,darty_stuff:inductor_1004_SMD,C143968,MWSA1004-680MT,https://datasheet.lcsc.com/szlcsc/Sunlord-MWSA1004-680MT_C143968.pdf,,
R1,1,33K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229931,,~,,
R10,1,100K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C118849,,~,,
R12 R13,2,43k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C352072,,~,,
R2 R8 R11 R14,4,10K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C118075,,~,,
R3,1,3.3K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229599,,~,,
R5,1,1K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C102060,,~,,
R9,1,22K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C352116,,~,,
U2,1,CJ431,Package_TO_SOT_SMD:SOT-89-3_Handsoldering,C8497,,,,
U3,1,XL1509-5.0E1,darty_stuff:SOIC-8_5x4,C61063,XL1509-5.0E1,https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5.0E1_C61063.pdf,XLSEMI,